Resource,Slug,URL,Bucket,Topic,Type,Created,Modified,Published,Keep?
Balanced Scorecard for Achieving Leadership Convergence and Accelerating Performance Improvement ,balanced-scorecard-for-achieving-leadership-convergence-and-accelerating-performance-improvement-,/dashboards/articles/balanced-scorecard-for-achieving-leadership-convergence.shtml,Tools,Beta Tools,Beta Tools,11/1/18,11/1/18,11/1/18,Yes
Dashboards and Balanced Scorecards,dashboards-and-balanced-scorecards,/dashboards/Best_practices_dashboards.PDF,Tools,Beta Tools,Beta Tools,2/6/17,9/12/17,1/1/16,Yes
A Comparison of External Quality and Safety Scorecards,a-comparison-of-external-quality-and-safety-scorecards,/dashboards/beta-toolkit-scorecards-grid.pdf,Tools,Beta Tools,Beta Tools,9/12/17,9/12/17,1/1/17,Yes
Board Chair Coaching Process,board-chair-coaching-process,/discussiontemplates/board-chair-coaching-process-tool.shtml,Tools,Discussion Questions & Templates,Discussion Questions & Templates,1/16/19,1/16/19,1/16/19,Yes
Governance Implications of Changing from Hospital to Care System Governance,governance-implications-of-changing-from-hospital-to-care-system-governance,/discussiontemplates/impact-and-implications-on-governance-structure-and-responsibilities.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
Governance Implications of Changing from Hospital to Care System Governance Tool,governance-implications-of-changing-from-hospital-to-care-system-governance-tool,/discussiontemplates/impact-and-implications-on-governance-structure-and-responsibilities.pdf,Good Governance Practices,Beta Tools,Beta Tools,9/24/18,9/24/18,1/1/16,Yes
Population Health: Board Discussion Questions,population-health-board-discussion-questions,/discussiontemplates/beta-toolkit-population-health.pdf,Tools,Beta Tools,Beta Tools,9/12/17,9/12/17,1/1/17,Yes
Understanding Quality Report Cards: A Board Discussion Guide,understanding-quality-report-cards-a-board-discussion-guide,/discussiontemplates/beta-toolkit-scorecards-primer.pdf,Tools,Beta Tools,Beta Tools,9/12/17,9/12/17,1/1/17,Yes
Telehealth Board Discussion Questions,telehealth-board-discussion-questions,/discussiontemplates/beta-toolkit-telehealth.pdf,Tools,Beta Tools,Beta Tools,9/12/17,9/12/17,1/1/17,Yes
Disruptive Competitor Profile Template,disruptive-competitor-profile-template,/disruptiveinnovation/articles/disruptive-competitor-profile-template_.shtml,Tools,Innovation,,11/1/18,11/9/18,11/1/18,Yes
Engaging Boards in Disruptive Innovation,engaging-boards-in-disruptive-innovation,/disruptiveinnovation/articles/engaging-boards-in-disruptive-innovation.shtml,Issues & Trends,Innovation,,11/1/18,11/1/18,11/1/18,Yes
Health Care Governance on the Eve of Distruption,health-care-governance-on-the-eve-of-distruption,/disruptiveinnovation/articles/health-care-governance-on-eve-of-disruption.shtml,Issues & Trends,Innovation,,8/9/18,8/9/18,8/1/18,Yes
Surviving Disruption in Health Care,surviving-disruption-in-health-care,/disruptiveinnovation/articles/surviving-disruption-in-health-care.shtml,Issues & Trends,Innovation,,7/6/18,8/9/18,7/1/18,Yes
Understanding Affordability and Value in Health Care,understanding-affordability-and-value-in-health-care,/disruptiveinnovation/articles/understanding-affordability-and-value-in-health-care.shtml,Issues & Trends,Innovation,,9/10/18,9/10/18,9/1/18,Yes
Addressing Social Determinants of Health (PowerPoint),addressing-social-determinants-of-health-powerpoint,/education/powerpoints.shtml,Issues & Trends,0,,7/31/18,8/8/18,1/1/18,Yes
Reaching for the Stars: Health Care Governance Best Practices (Webinar),reaching-for-the-stars-health-care-governance-best-practices-webinar,/education/web-rec/17mar-reaching-for-stars-best-practices-webinar.shtml,Good Governance Practices,Transforming Governance,,3/20/17,8/14/18,1/1/17,Yes
Top 10 Trends for 2019,top-10-trends-for-2019-,/envtrends/articles/ten-trends-for-2019.shtml,Issues & Trends,Environmental Trends,,1/16/19,1/16/19,1/16/19,Yes
Bridging Worlds: The Future of the Heathcare Strategist,bridging-worlds-the-future-of-the-heathcare-strategist,/envtrends/bridgingworlds.pdf,Issues & Trends,Environmental Trends,,2/6/17,2/6/17,1/1/17,Yes
Strategy Landscape,strategy-landscape,/envtrends/BridgingWorldsStrategyLandscapePoster.pdf,Issues & Trends,Environmental Trends,,2/6/17,2/6/17,1/1/14,Yes
Acronyms Resource List,acronyms-resource-list,/envtrends/chg-acronyms-list.pdf,Issues & Trends,Environmental Trends,,2/6/17,2/6/17,,Yes
FutureScan 2018-2023: Healthcare Trends and Implications (PowerPoint),futurescan-20182023-healthcare-trends-and-implications-powerpoint,/envtrends/Futurescan 2018 PowerPoint Slides for Beta Beta.pdf,Issues & Trends,Environmental Trends,,4/6/18,4/9/18,1/1/18,Yes
National Health Care Governance Survey Report,national-health-care-governance-survey-report,/envtrends/Governance-Survey-Report-update.pdf,Issues & Trends,Environmental Trends,,2/6/17,2/24/17,1/1/14,Yes
A New Model for Care Equity,a-new-model-for-care-equity,/Equity of Care/A-New-Model-For-Care-of-Equity.pdf,Issues & Trends,Equity of Care,,4/10/18,4/10/18,4/10/18,Yes
CEO Evaluation,ceo-evaluation,/evals/Best_practices_CEO_appraisal.PDF,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
Board Self Evaluation,board-self-evaluation,/evals/Best_practices_self_evaluation.PDF,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
"Governance Improvement Practical Technique: Post-Board Meeting ""Mini"" Evaluations",governance-improvement-practical-technique-postboard-meeting-mini-evaluations,/evals/Post-meeting-eval-memo-and-form.pdf,Tools,Beta Tools,Beta Tools,9/21/18,9/21/18,,Yes
Strategy and Competency Self Assessment,strategy-and-competency-self-assessment,/evals/strategy-and-competency-self-assessment.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
Strategy and Competency Self Assessment Tool,strategy-and-competency-self-assessment-tool,/evals/strategy-and-competency-self-assessment.pdf,Good Governance Practices,Beta Tools,Beta Tools,9/24/18,9/24/18,1/1/16,Yes
Using the Baldrige Criteria to Improve Governance Assessment,using-the-baldrige-criteria-to-improve-governance-assessment,/evals/beta-toolkit-baldridge.pdf,Tools,Beta Tools,Beta Tools,9/12/17,9/12/17,1/1/17,Yes
Aligning Executive Compensation with the New Health Care Paradigm,aligning-executive-compensation-with-the-new-health-care-paradigm,/execperformance/15-executive-compensation.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,1/1/15,Yes
Sample CEO Performance Appraisal,sample-ceo-performance-appraisal,/execperformance/Beta-Sample-CEO-Performance-Appraisal.pdf,Good Governance Practices,Executive Performance & Compensation,,9/6/17,9/6/17,1/1/17,Yes
CEO Evaluation,ceo-evaluation,/execperformance/Best_practices_CEO_appraisal.PDF,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/6/17,1/1/16,Yes
Ready for the Unthinkable,ready-for-the-unthinkable,/execperformance/center-voices-10-13.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/28/17,1/1/13,Yes
5 Competencies for CEOs,5-competencies-for-ceos,/execperformance/center-voices-11-15.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,1/1/15,Yes
Coaching for Results,coaching-for-results,/execperformance/center-voices-2-16.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,1/1/16,Yes
Active Board Succession,active-board-succession,/execperformance/center-voices-5-16.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,10/23/18,1/1/16,Yes
Smarter Compensation,smarter-compensation,/execperformance/center-voices-9-12.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,1/1/12,Yes
Challenges of Youth,challenges-of-youth,/execperformance/center-voices-9-16.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/24/17,1/1/16,Yes
Clarifying Expectations: A First Step in Developing Truly Effective Relationships Between CEOs and Beta,clarifying-expectations-a-first-step-in-developing-truly-effective-relationships-between-ceos-and-beta,/execperformance/clarifying-expectations.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,1/1/07,Yes
Collaborative Leadership: A New Model for Developing Truly Effective Relationships Between CEOs and Beta,collaborative-leadership-a-new-model-for-developing-truly-effective-relationships-between-ceos-and-beta,/execperformance/collaborative-leadership-tool.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,1/1/06,Yes
Succession Planning: The Board-CEO Partnership,succession-planning-the-board-ceo-partnership,/execperformance/GI16_1.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,1/1/16,Yes
Sample Chief Executive Officer Performance Appraisal Process and Assessment Form,sample-chief-executive-officer-performance-appraisal-process-and-assessment-form,/execperformance/sample-chief-executive-officer-performance-appraisal-process-and-assessment-form.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,2017,Yes
Someone to Lean On,someone-to-lean-on,/execperformance/someonetoleanon.pdf,Good Governance Practices,Executive Performance & Compensation,,3/28/17,3/28/17,1/1/17,Yes
The CEO Performance Appraisal,the-ceo-performance-appraisal,/execperformance/the-ceo-performance-appraisal.pdf,Good Governance Practices,Executive Performance & Compensation,,10/11/17,10/11/17,1/1/17,Yes
Linking Incentives to Risk,linking-incentives-to-risk,/execperformance/TRU1016_Voices.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,1/1/16,Yes
CEO Succession Planning - Your Must Do's (Webinar),ceo-succession-planning-your-must-dos-webinar,/execperformance/web-rec/ceo-succession-planning-your-must-dos.shtml,Good Governance Practices,Executive Performance & Compensation,,9/6/18,9/6/18,9/1/18,Yes
Who Are Your Next Generation Leaders (Webinar),who-are-your-next-generation-leaders-webinar,/execperformance/web-rec/who-are-your-next-generation-leaders.shtml,Good Governance Practices,Executive Performance & Compensation,,11/29/18,11/29/18,11/1/18,Yes
Revisiting Executive Incentive Compensation: A New Challenge,revisiting-executive-incentive-compensation-a-new-challenge,/execperformance/Workbook2015-04.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,1/1/15,Yes
Taking Responsibility for Transitions at the Top,taking-responsibility-for-transitions-at-the-top,/execperformance/Workbook2015-11.pdf,Good Governance Practices,Executive Performance & Compensation,,2/6/17,2/23/17,1/1/15,Yes
Evolving Accountability of Nonprofit Health System Boards ,evolving-accountability-of-nonprofit-health-system-boards-,/fiduciaryduties/13-evolving-accountability.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,2/24/17,1/1/13,Yes
Rural Hospitals: A Different Take on Conflict of Interest,rural-hospitals-a-different-take-on-conflict-of-interest,/fiduciaryduties/archive/CenterVoices2008-03.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,8/20/18,1/1/08,Yes
Using Stakeholder Feedback to Set Strategy and Manage Risk,using-stakeholder-feedback-to-set-strategy-and-manage-risk,/fiduciaryduties/archive/Workbook2009-01.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,8/20/18,1/1/09,Yes
Asset Stewardship and the Board's 3 for Understanding and Improving Operational Efficiency,asset-stewardship-and-the-boards-3-for-understanding-and-improving-operational-efficiency,/fiduciaryduties/asset-stewardship.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,2/6/17,1/1/07,Yes
Board Legal Fiduciary Duties,board-legal-fiduciary-duties,/fiduciaryduties/board-legal-fiduciary-duties.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,3/6/17,1/1/05,Yes
Ready for the Spotlight,ready-for-the-spotlight,/fiduciaryduties/center-voices-6-12.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,2/6/17,1/1/12,Yes
Sample Conflicts of Interest and Documentation Form,sample-conflicts-of-interest-and-documentation-form,/fiduciaryduties/email-beta-quarterly-COI-form.pdf,Good Governance Practices,Fiduciary Duties,,6/11/17,6/12/17,1/1/17,Yes
"Fiduciary Duties, Conflicts of Interest and Independence Refresher",fiduciary-duties-conflicts-of-interest-and-independence-refresher,/fiduciaryduties/email-beta-quarterly-knecht-fiduciary-duties.pdf,Good Governance Practices,Fiduciary Duties,,6/11/17,6/11/17,2017,Yes
Sample Board Accountability Statement for a Community Hospital,sample-board-accountability-statement-for-a-community-hospital,/fiduciaryduties/sample-board-accountability-statement-for-a-community-hospital.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,2/6/17,1/1/05,Yes
Sample Board Policy on Confidentiality,sample-board-policy-on-confidentiality,/fiduciaryduties/sample-board-policy-on-confidentiality.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,2/6/17,1/1/05,Yes
Sample Code of Conduct,sample-code-of-conduct,/fiduciaryduties/sample-code-of-conduct.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,2/6/17,1/1/08,Yes
Sample General Principles Regarding Conflict of Interest,sample-general-principles-regarding-conflict-of-interest,/fiduciaryduties/sample-general-principles-regarding-conflict-of-interest.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,2/6/17,1/1/08,Yes
Sample Policy for Open Board Meetings for Public or Government Hospitals,sample-policy-for-open-board-meetings-for-public-or-government-hospitals,/fiduciaryduties/sample-policy-for-open-board-meetings-for-public-or-government-hospitals.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,3/7/17,1/1/05,Yes
Compliance Oversight: Responsibilities and Best Practices,compliance-oversight-responsibilities-and-best-practices,/fiduciaryduties/Workbook2014-11.pdf,Good Governance Practices,Fiduciary Duties,,2/6/17,2/6/17,1/1/14,Yes
Managing Capital Project Risks in a Challenging Environment,managing-capital-project-risks-in-a-challenging-environment,/financialoversight/09-capital-project-risks.pdf,Good Governance Practices,Financial Oversight,,2/6/17,2/6/17,1/1/09,Yes
Boards and Philanthropy: Developing the Next-Curve Revenue Source for Health Care,boards-and-philanthropy-developing-the-next-curve-revenue-source-for-health-care,/financialoversight/14-boards-and-philanthropy.pdf,Good Governance Practices,Financial Oversight,,2/6/17,2/6/17,1/1/14,Yes
Strategic Resource Allocation,strategic-resource-allocation,/financialoversight/archive/CenterVoices2008-09.pdf,Good Governance Practices,Financial Oversight,,2/6/17,7/16/18,1/1/08,Yes
Capital Project Success Depends on Strong Board Oversight ,capital-project-success-depends-on-strong-board-oversight,/financialoversight/archive/CenterVoices2009-01.pdf,Good Governance Practices,Financial Oversight,,2/6/17,7/16/18,1/1/09,Yes
Compliance Under Control,compliance-under-control,/financialoversight/center-voices-3-15.pdf,Good Governance Practices,Financial Oversight,,2/6/17,2/6/17,1/1/15,Yes
Philanthropy and Strategic Direction,philanthropy-and-strategic-direction,/financialoversight/GI14_3.pdf,Good Governance Practices,Financial Oversight,,2/6/17,2/6/17,1/1/14,Yes
Board Development and Evaulation,board-development-and-evaulation,/foundationboard/Board Development and Evaluation/Sub-Folder.shtml,Good Governance Practices,Foundation Board Resources,,4/6/18,4/6/18,,Yes
Financial Opportunity of Philanthropy,financial-opportunity-of-philanthropy,/foundationboard/Financial Opportunity for Philanthropy/Sub-Folder.shtml,Good Governance Practices,Foundation Board Resources,,9/21/17,9/21/17,,Yes
Foundation Board Meetings,foundation-board-meetings,/foundationboard/Foundation Board Meetings/Sub-Folder.shtml,Good Governance Practices,Foundation Board Resources,,9/21/17,9/21/17,9/21/17,Yes
Foundation Board Selection / Recruitment / Onboarding,foundation-board-selection-recruitment-onboarding,/foundationboard/Foundation Board Selection-Recruitment-Onboarding/Sub-Folder.shtml,Good Governance Practices,Foundation Board Resources,,9/21/17,9/21/17,,Yes
Grateful Patient Engagement,grateful-patient-engagement,/foundationboard/Grateful Patient Engagement/Sub-Folder.shtml,Good Governance Practices,Foundation Board Resources,,10/2/17,10/2/17,,Yes
Key Partners in Advancing Philanthropy,key-partners-in-advancing-philanthropy,/foundationboard/Key Partners in Advancing Philanthropy/Sub-Folder.shtml,Good Governance Practices,Foundation Board Resources,,9/20/17,9/20/17,,Yes
Philanthropy's Ability to Advance Population Health,philanthropys-ability-to-advance-population-health,/foundationboard/philanthropys-ability-to-advance-population-health/Sub-Folder.shtml,Good Governance Practices,Foundation Board Resources,,7/12/18,7/12/18,,Yes
Strategic Philanthropy Planning,strategic-philanthropy-planning,/foundationboard/Strategic Philanthropy Planning/Sub-Folder.shtml,Good Governance Practices,Foundation Board Resources,,1/16/18,1/16/18,,Yes
Strategic Project Selection,strategic-project-selection,/foundationboard/Strategic Project Selection/Sub-Folder.shtml,Good Governance Practices,Foundation Board Resources,,9/21/17,9/21/17,,Yes
Systemization / Regionalization / Mergers,systemization-regionalization-mergers,/foundationboard/Systemization-Regionalization-Mergers/Sub-Folder.shtml,Good Governance Practices,Foundation Board Resources,,9/20/17,9/20/17,,Yes
Aligning Governance and Business Models to Achieve the Best Fit,aligning-governance-and-business-models-to-achieve-the-best-fit,/GB/aligning-governance.pdf,Good Governance Practices,Transforming Governance,,3/9/17,3/9/17,1/1/14,Yes
Best Governance Practices: Not Just for Goliaths,best-governance-practices-not-just-for-goliaths,/GB/best-governance-practices.pdf,Good Governance Practices,Transforming Governance,,3/9/17,7/19/18,,Yes
Board Development: A Marathon Not a Sprint,board-development-a-marathon-not-a-sprint,/GB/board-development.pdf,Good Governance Practices,Board Development,,3/9/17,3/9/17,,Yes
Choosing Wisely: Succession Planning for a Down-sized Board,choosing-wisely-succession-planning-for-a-downsized-board,/GB/board-down-sizing.pdf,Good Governance Practices,Board Composition & Selection,,3/9/17,3/9/17,,Yes
Board Education: Raising the Bar,board-education-raising-the-bar,/GB/board-education.pdf,Good Governance Practices,Board Development,,3/9/17,3/9/17,1/1/15,Yes
Board Practices that Separate the Best from the Rest,board-practices-that-,/GB/board-practices.pdf,Good Governance Practices,Board Development,,3/9/17,3/9/17,1/1/12,Yes
Advent of ?¢‚Ç¨?ìCare Systems?¢‚Ç¨¬ù Means Governance Must Also Transform,advent-of-care-systems-means-governance-must-also-transform,/GB/care-systems.pdf,Good Governance Practices,Transforming Governance,,3/9/17,3/9/17,1/1/13,Yes
Unique Approach to Assessing Board Committee Effectiveness,unique-approach-to-assessing-board-committee-effectiveness,/GB/committee-effectiveness.pdf,Good Governance Practices,Board Structure,,3/9/17,7/19/18,1/1/13,Yes
Applying Competency-based Criteria to Committee Makeup and Education,applying-competencybased-criteria-to-committee-makeup-and-education,/GB/competency-based-criteria.pdf,Good Governance Practices,Board Composition & Selection,,3/9/17,3/9/17,,Yes
Conflict Manager: The Board Chair?¢‚Ç¨‚Ñ¢s Unsung Role,conflict-manager-the-board-chairs-unsung-role,/GB/conflict-manager.pdf,Good Governance Practices,Board Meetings,,3/9/17,3/9/17,,Yes
Effective Board Culture: The Last Frontier,effective-board-culture-the-last-frontier,/GB/effective-board-culture.pdf,Good Governance Practices,Board Culture,,3/9/17,3/9/17,,Yes
When Systems Change: Breaking Free from Traditional Governance Models - the New Optimal?,when-systems-change-breaking-free-from-traditional-governance-models-the-new-optimal,/GB/evolving-governance-models.pdf,Good Governance Practices,System Resources,,3/9/17,3/9/17,,Yes
Most Commonly Asked Questions About Board Committees,most-commonly-asked-questions-about-board-committees,/GB/faq-board-committees.pdf,Good Governance Practices,Board Structure,,3/9/17,3/9/17,,Yes
Governance in Developing Systems: How Boards Add Value,governance-in-developing-systems-how-boards-add-value,/GB/governance-developing-systems.pdf,Good Governance Practices,System Resources,,3/9/17,3/9/17,1/1/13,Yes
Governance Staffing: How Much Do We Need?,governance-staffing-how-much-do-we-need,/GB/governance-staffing.pdf,Good Governance Practices,Board Structure,,3/9/17,3/9/17,,Yes
Agenda for the Executive Compensation Committee: A Guide for Minimizing Regulatory and Reputational Risk,agenda-for-the-executive-compensation-committee-a-guide-for-minimizing-regulatory-and-reputational-risk,/GB/guideforminimizingregulatoryrisk.pdf,Good Governance Practices,Executive Performance & Compensation,,3/9/17,3/9/17,1/1/13,Yes
Nurses in the Boardroom,nurses-in-the-boardroom,/GB/nurses-boardroom.pdf,Good Governance Practices,Board Composition & Selection,,3/9/17,3/9/17,,Yes
Physician?¢‚Ç¨‚Ñ¢s Impact on Patient Satisfaction,physicians-impact-on-patient-satisfaction,/GB/physician-impact-patient-satisfaction.pdf,Good Governance Practices,Physician Issues,,3/9/17,7/5/18,,Yes
When Strategy Informs Structure: Successful Board  Oversight of Physician Integration at Mercy Health,when-strategy-informs-structure-successful-board-oversight-of-physician-integration-at-mercy-health,/GB/physician-integration-mercyhealth.pdf,Good Governance Practices,Board Structure,,3/9/17,8/16/18,,Yes
Post-Merger Integration: The Board?¢‚Ç¨‚Ñ¢s Role Begins  Before the Ink is Dry,postmerger-integration-the-boards-role-begins-before-the-ink-is-dry,/GB/post-merger-integration.pdf,Issues & Trends,Current & Emerging Payment Models,,3/9/17,7/17/18,,Yes
Today?¢‚Ç¨‚Ñ¢s Provider-Sponsored Health Plans: What Boards Need to Know ,todays-providersponsored-health-plans-what-boards-need-to-know-,/GB/provider-sponsored-health-plans.pdf,Issues & Trends,Current & Emerging Payment Models,,3/9/17,3/9/17,,Yes
Reaching for the Stars,reaching-for-the-stars,/GB/reaching-stars.pdf,Good Governance Practices,Transforming Governance,,3/9/17,7/17/18,,Yes
Revisiting the Mission,revisiting-the-mission,/GB/revisiting-the-mission.pdf,Good Governance Practices,Mission/Vision/Strategy,,3/9/17,3/9/17,,Yes
7 Rules of Board Engagement,7-rules-of-board-engagement,/GB/rules-board-engagement.pdf,Good Governance Practices,Board Development,,3/9/17,3/9/17,,Yes
Shared Governance Imperative,shared-governance-imperative,/GB/shared-governance.pdf,Good Governance Practices,Transforming Governance,,3/9/17,8/16/18,,Yes
Artificial Intelligence: The Next Revolution in Information Technology,artificial-intelligence-the-next-revolution-in-information-technology,/healthit/articles/artificial-intelligence-glaser.shtml,Issues & Trends,Health Information Technology (HIT),,7/5/18,7/6/18,7/1/18,Yes
Understanding the True Cost of Clinical Technology,understanding-the-true-cost-of-clinical-technology,/healthit/articles/understanding-the-true-cost-of-clinical-technology.shtml,Issues & Trends,Health Information Technology (HIT),,11/1/18,11/1/18,11/1/18,Yes
IT as a Strategic Resource,it-as-a-strategic-resource,/healthit/center-voices-3-14.pdf,Issues & Trends,Health Information Technology (HIT),,2/6/17,2/6/17,1/1/14,Yes
Health Care 2.0 and Beyond,health-care-20-and-beyond,/healthit/center-voices-7-15.pdf,Issues & Trends,Health Information Technology (HIT),,2/6/17,2/6/17,1/1/15,Yes
Cybersecurity and Hospitals: A Board Perspective,cybersecurity-and-hospitals-a-board-perspective,/healthit/cybersecurity-and-hospital-a-board-perspective.pdf,Issues & Trends,Cybersecurity,,10/11/17,9/20/18,1/1/17,Yes
Telehealth: An Overview for Beta,telehealth-an-overview-for-beta,/healthit/email-beta-quarterly-telehealth.pdf,Issues & Trends,Health Information Technology (HIT),,6/12/17,6/12/17,1/1/17,Yes
Interoperability: What Boards Need to Know,interoperability-what-boards-need-to-know,/healthit/interoperability.pdf,Issues & Trends,Health Information Technology (HIT),,3/27/17,3/27/17,1/1/17,Yes
Making Sense of the MACRA: A Primer for Beta,making-sense-of-the-macra-a-primer-for-beta,/macra/MACRA_Beta.pdf,Issues & Trends,PFS/MACRA/QPP,,3/20/17,3/20/17,1/1/17,Yes
Value of Governance,value-of-governance,/missionvision/13-value-of-governance.pdf,Good Governance Practices,Transforming Governance,,2/6/17,7/17/18,1/1/13,Yes
Carolinas HealthCare System: 2017 Mission & Vision Statements,carolinas-healthcare-system-2017-mission-vision-statements,/missionvision/BetaInsights_MissionVision_Graphic.pdf,Good Governance Practices,Mission/Vision/Strategy,,9/20/17,9/20/17,1/1/17,Yes
Successful Strategic Planning: The Board Role,successful-strategic-planning-the-board-role,/missionvision/archive/09-strategic-planning.pdf,Good Governance Practices,Mission/Vision/Strategy,,8/20/18,8/20/18,1/1/09,Yes
Board-Stakeholder Checklist,boardstakeholder-checklist,/missionvision/archive/board-checklist.pdf,Good Governance Practices,Fiduciary Duties,,8/16/18,8/16/18,,Yes
Strategy and Stakeholder Relations: Risk or Reward?,strategy-and-stakeholder-relations-risk-or-reward,/missionvision/archive/CenterVoices2009-07.pdf,Good Governance Practices,Mission/Vision/Strategy,,2/6/17,7/16/18,1/1/09,Yes
Evaluating New Strategic Projects,evaluating-new-strategic-projects,/missionvision/archive/Evaluating_New_Strategic_Projects.PDF,Good Governance Practices,Mission/Vision/Strategy,,2/6/17,7/16/18,,Yes
Board?¢‚Ç¨‚Ñ¢s Role in the Strategic Planning Process,boards-role-in-the-strategic-planning-process,/missionvision/archive/spring2004_gb_best_practices_strategic_planning.pdf,Good Governance Practices,Mission/Vision/Strategy,,8/20/18,8/20/18,1/1/16,Yes
Board and Management Roles in Strategic Planning,board-and-management-roles-in-strategic-planning,/missionvision/archive/strategic_planning_chart.pdf,Good Governance Practices,Mission/Vision/Strategy,,2/6/17,8/14/18,,Yes
Dashboards and Balanced Scorecards ,dashboards-and-balanced-scorecards-,/missionvision/Best_practices_dashboards.PDF,Good Governance Practices,Mission/Vision/Strategy,,2/6/17,2/24/17,1/1/16,Yes
Developing a Strategic Board,developing-a-strategic-board,/missionvision/center-voices-11-13.pdf,Good Governance Practices,Mission/Vision/Strategy,,2/6/17,2/6/17,1/1/13,Yes
"Health, Hope & Healing - For All",health-hope-healing-for-all,/missionvision/health-hope-and-healing-for-all.pdf,Good Governance Practices,Mission/Vision/Strategy,,10/11/17,10/11/17,1/1/17,Yes
Is Strategic Planning Getting Adequate Attention in Hospital Boards?,is-strategic-planning-getting-adequate-attention-in-hospital-boards,/missionvision/HED-Is-Strategic-Planning-Getting-Adequate-Attention-in-Hospital-Boards.pdf,Good Governance Practices,Mission/Vision/Strategy,,4/10/18,4/10/18,1/1/18,Yes
Sample Strategic Planning Policy,sample-strategic-planning-policy,/missionvision/sample-strategic-planning-policy.pdf,Good Governance Practices,Mission/Vision/Strategy,,2/6/17,2/6/17,1/1/16,Yes
Mission-Based Decision-Making for Boards,mission-based-decision-making-for-boards,/missionvision/Workbook2012-04.pdf,Good Governance Practices,Mission/Vision/Strategy,,2/6/17,2/6/17,1/1/12,Yes
Evaluating a Super CIN Opportunity,evaluating-a-super-cin-opportunity,/newdeliverymodels/archive/eval-super-cin-opp.pdf,Issues & Trends,Current & Emerging Payment Models,,2/6/17,8/2/18,1/1/14,Yes
Building an Age-friendly Health Care System,building-an-agefriendly-health-care-system,/newdeliverymodels/articles/building-an-age-friendly-health-care-system.shtml,Issues & Trends,Current & Emerging Payment Models,,9/10/18,9/10/18,9/1/18,Yes
Independent and Integrated,independent-and-integrated,/newdeliverymodels/center-voices-10-14.pdf,Issues & Trends,Current & Emerging Payment Models,,2/6/17,2/6/17,1/1/14,Yes
The Regulatory Burden on Hospitals and Health Systems,the-regulatory-burden-on-hospitals-and-health-systems,/newdeliverymodels/Regulatory Overload 2018.pdf,Issues & Trends,Current & Emerging Payment Models,,1/17/18,1/17/18,1/1/18,Yes
Accelerating Progress through Leadership Integration,accelerating-progress-through-leadership-integration,/performanceimprovement/articles/accelerating-progress-through-leadership-integration.shtml,Issues & Trends,Performance Improvement,,11/1/18,11/1/18,11/1/18,Yes
Empowering a Healthy Culture,empowering-a-healthy-culture,/performanceimprovement/articles/empowering-a-healthy-culture-blouin.shtml,Issues & Trends,Performance Improvement,,11/1/18,11/1/18,11/1/18,Yes
Getting Strategic About Shared Decision Making,getting-strategic-about-shared-decision-making,/performanceimprovement/articles/getting-strategic-about-shared-decision-making.shtml,Issues & Trends,Performance Improvement,,11/29/18,11/29/18,12/1/18,Yes
Five Core Strategies for Developing High-Impact Physician Leadership: Common Ground for the Board and the C-Suite,five-core-strategies-for-developing-high-impact-physician-leadership-common-ground-for-the-board-and-the-c-suite,/physicianissues/14-physician-leadership.pdf,Good Governance Practices,Physician Issues,,2/6/17,7/5/18,1/1/14,Yes
Health System-Physician Relationship Continuum,health-systemphysician-relationship-continuum,/physicianissues/15-physician-relationship-continuum.pdf,Good Governance Practices,Physician Issues,,2/6/17,7/5/18,1/1/15,Yes
